real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
17,0.022605,0.028836,0.04126,0.042491,0.039002,0.03692,0.061721,0.025421,0.052109,0.038005,0.058896,0.064108,0.064618,0.032542,0.061535,0.052459,0.06468,0.036925,0.076441,0.048049,0.079312,0.068368,0.067548,0.09242
18,0.207792,0.265066,0.379277,0.390584,0.358513,0.339383,0.567359,0.233679,0.479001,0.34935,0.541391,0.589295,0.593986,0.299134,0.565646,0.482218,0.594555,0.339423,0.702664,0.441678,0.729061,0.628461,0.620918,0.849549
19,0.024996,0.031886,0.045625,0.046985,0.043127,0.040826,0.06825,0.02811,0.057621,0.042025,0.065126,0.070888,0.071453,0.035984,0.068044,0.058008,0.071521,0.04083,0.084526,0.053131,0.087701,0.0756,0.074692,0.102195
20,0.518137,0.660951,0.94574,0.973935,0.893964,0.846262,1.41473,0.582686,1.19441,0.871116,1.34998,1.46942,1.48112,0.7459,1.41046,1.20243,1.48254,0.846362,1.75212,1.10134,1.81794,1.56709,1.54828,2.11838
21,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
22,0.932646,1.18971,1.70233,1.75308,1.60913,1.52327,2.54651,1.04883,2.14993,1.56801,2.42996,2.64497,2.66602,1.34262,2.53882,2.16437,2.66857,1.52345,3.15381,1.98241,3.27229,2.82076,2.7869,3.81308
23,0.103867,0.132496,0.189586,0.195238,0.179207,0.169644,0.283601,0.116807,0.239434,0.174626,0.27062,0.294565,0.29691,0.149525,0.282744,0.241042,0.297195,0.169664,0.351234,0.220778,0.364429,0.314143,0.310373,0.424657
24,0.458464,0.584831,0.836821,0.861769,0.791008,0.7488,1.2518,0.515579,1.05685,0.770791,1.1945,1.30019,1.31055,0.659996,1.24802,1.06394,1.3118,0.748889,1.55033,0.974501,1.60857,1.38661,1.36997,1.87441
25,0.068601,0.087509,0.125215,0.128947,0.118359,0.112044,0.187308,0.077147,0.158137,0.115334,0.178735,0.19455,0.196098,0.098756,0.186742,0.159199,0.196286,0.112057,0.231977,0.145816,0.240692,0.20748,0.20499,0.28047
26,0.648435,0.827163,1.18357,1.21885,1.11877,1.05907,1.7705,0.729216,1.49477,1.09018,1.68946,1.83895,1.85359,0.933473,1.76515,1.5048,1.85536,1.0592,2.19273,1.3783,2.2751,1.96117,1.93763,2.6511
27,0.20591,0.262665,0.375841,0.387046,0.355265,0.336308,0.56222,0.231562,0.474662,0.346185,0.536487,0.583956,0.588605,0.296424,0.560522,0.477849,0.589169,0.336348,0.696299,0.437677,0.722457,0.622768,0.615294,0.841854
28,0.207666,0.264905,0.379047,0.390347,0.358295,0.339177,0.567015,0.233537,0.47871,0.349138,0.541062,0.588936,0.593625,0.298952,0.565302,0.481925,0.594193,0.339217,0.702237,0.44141,0.728618,0.628079,0.620541,0.849033
29,1.34933,1.72125,2.46289,2.53632,2.32806,2.20383,3.68423,1.51743,3.11047,2.26856,3.5156,3.82667,3.85713,1.94247,3.67311,3.13135,3.86083,2.20409,4.56285,2.8681,4.73426,4.08101,4.03202,5.51667
30,0.022605,0.028836,0.04126,0.042491,0.039002,0.03692,0.061721,0.025421,0.052109,0.038005,0.058896,0.064108,0.064618,0.032542,0.061535,0.052459,0.06468,0.036925,0.076441,0.048049,0.079312,0.068368,0.067548,0.09242
31,0.189971,0.242332,0.346748,0.357085,0.327764,0.310275,0.518698,0.213637,0.437919,0.319387,0.494958,0.538752,0.543041,0.273478,0.517132,0.440859,0.543561,0.310312,0.642398,0.403797,0.666531,0.57456,0.567664,0.776686
32,0.19444,0.248033,0.354905,0.365486,0.335476,0.317575,0.530902,0.218663,0.448222,0.326901,0.506603,0.551427,0.555817,0.279912,0.529298,0.451231,0.55635,0.317612,0.657512,0.413297,0.682213,0.588077,0.581019,0.794959
33,1.73582,2.21426,3.16833,3.26279,2.99488,2.83507,4.7395,1.95206,4.00139,2.91833,4.52257,4.92274,4.96192,2.49885,4.72519,4.02826,4.96668,2.83541,5.86978,3.68961,6.09029,5.24992,5.18691,7.09681
34,0.057326,0.073127,0.104636,0.107755,0.098907,0.09363,0.156524,0.064468,0.132148,0.096379,0.14936,0.162576,0.16387,0.082526,0.156051,0.133035,0.164027,0.093641,0.193852,0.121851,0.201135,0.173381,0.1713,0.234375
35,0.338634,0.431972,0.618099,0.636526,0.58426,0.553084,0.924612,0.380821,0.780617,0.569327,0.882293,0.960359,0.968004,0.487491,0.92182,0.785859,0.968932,0.55315,1.14512,0.719793,1.18813,1.02419,1.0119,1.38449
36,0.038605,0.049246,0.070465,0.072566,0.066607,0.063053,0.105409,0.043415,0.088993,0.064905,0.100584,0.109484,0.110355,0.055575,0.10509,0.08959,0.110461,0.063061,0.130546,0.082059,0.135451,0.116761,0.115359,0.157836
37,0.098563,0.12573,0.179904,0.185267,0.170055,0.16098,0.269117,0.110842,0.227206,0.165708,0.2568,0.279522,0.281747,0.141889,0.268305,0.228732,0.282017,0.161,0.333297,0.209503,0.345818,0.2981,0.294522,0.402969
