real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
17,9.15225,6.17153,3.24388,4.25561,10.4427,14.5642,4.74914,20.1943,14.3754,24.4568,27.5174,20.0275,7.99607,19.6303,28.6443,20.8126,28.5758,9.49311,34.8251,8.23655,13.8666,24.4356,5.51153,3.58106
18,8.02094,4.31148,5.82232,2.7937,10.9534,14.1288,3.78719,18.9069,14.2549,24.8099,27.8748,19.2864,9.49208,20.9397,29.5846,23.3513,30.0691,9.29451,33.4007,8.81113,13.33,23.3006,6.79426,3.74188
19,7.62669,4.6113,5.47518,5.66627,9.43231,16.2942,4.52808,20.54,13.4658,24.746,27.8109,21.8165,8.12142,20.8994,29.0857,22.6329,28.8019,9.1242,34.1698,8.51651,13.9633,25.9209,5.25813,3.04135
20,6.50679,4.44497,3.26923,3.95622,10.983,16.2706,3.44961,18.8516,14.5767,25.4132,28.0675,19.8202,9.79218,20.0779,30.4521,20.9955,28.9454,8.75458,33.139,7.8967,15.0808,24.7051,6.71911,4.23559
21,6.33746,4.59338,2.81502,4.70543,10.0716,17.3298,5.26934,19.8297,14.3564,24.8133,27.9308,18.2629,7.84116,21.3323,31.4903,21.7197,29.8616,8.47829,33.6869,9.14937,15.2409,24.5102,5.74016,1.93158
22,6.20996,4.52493,5.05137,4.69492,8.40117,14.6985,4.82134,20.2896,13.5774,25.0677,28.1661,19.3566,8.11504,17.6577,30.1887,20.3408,28.1189,8.94454,35.1431,7.96264,13.8629,22.6866,6.54449,4.4446
23,7.13255,4.46452,2.04672,5.47072,10.4295,18.2478,3.59783,20.6734,13.3565,25.6656,28.6403,20.3774,8.66816,20.4417,30.8911,21.0547,28.1896,9.68178,33.6703,9.50679,15.9991,24.174,6.43454,4.19194
24,6.02023,5.6697,4.04096,4.04976,9.92101,15.4525,2.64411,21.0594,15.1385,24.1053,28.2094,20.312,7.46713,20.2741,32.9216,22.2306,29.5179,9.31416,32.3008,9.35396,12.7414,24.8068,6.67236,5.11888
25,7.31949,5.26747,4.01216,2.2773,10.4507,17.8637,6.14993,20.4174,13.2203,26.8152,26.4091,21.2944,8.42859,18.8487,28.4455,21.9182,29.0319,9.07738,32.3036,9.50099,13.3797,26.5846,7.63209,3.13081
26,5.16617,6.09308,5.17793,4.26066,8.62844,15.4936,3.80288,21.1474,15.8386,24.8489,28.1749,19.6759,9.29076,19.5831,30.9881,21.8046,29.0553,9.37928,34.3622,8.13019,14.7504,24.3671,6.73506,5.3535
