name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
COLUMN_HEIGHT,4.39794,0.238561,3.92082,4.87506,4.40137,0.156456,4.08845,4.71428
DIFFUSION_COEF,3.69897,0.150515,3.39794,4,3.74647,0.143264,3.45994,4.033
ELLIPSE_MAJOR_AXIS,11000,6000,-1000,23000,11000,5202.5,595.006,21405
TGSD_MEAN,-1.99,3,-7.99,4.01,-1.9889,2.3844,-6.75771,2.7799
TOTAL_ERUPTED_MASS,11,0.325257,10.3495,11.6505,10.9081,0.0400095,10.8281,10.9881
WIND_DIRECTION,2.34242,0.0440228,2.25438,2.43047,2.3387,0.00934265,2.32001,2.35738
WIND_SPEED,0.69897,0.575257,-0.451545,1.84949,0.65585,0.190182,0.275487,1.03621
