name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
COLUMN_HEIGHT,4.39794,0.238561,3.92082,4.87506,4.41421,0.224682,3.96484,4.86357
DIFFUSION_COEF,3.69897,0.150515,3.39794,4,3.72342,0.141761,3.4399,4.00694
ELLIPSE_MAJOR_AXIS,11000,6000,-1000,23000,11000,4486.9,2026.2,19973.8
TGSD_MEAN,-1.99,3,-7.99,4.01,-1.99365,1.68075,-5.35514,1.36785
TOTAL_ERUPTED_MASS,11,0.325257,10.3495,11.6505,10.8999,0.0437507,10.8124,10.9874
WIND_DIRECTION,2.34242,0.0440228,2.25438,2.43047,2.33785,0.00747481,2.3229,2.3528
WIND_SPEED,0.69897,0.575257,-0.451545,1.84949,0.594526,0.206787,0.180953,1.0081
