name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
COLUMN_HEIGHT,4.39794,0.238561,3.92082,4.87506,4.39794,0.224173,3.94959,4.84629
DIFFUSION_COEF,3.69897,0.150515,3.39794,4,3.69897,0.140556,3.41786,3.98008
ELLIPSE_MAJOR_AXIS,11000,6000,-1000,23000,11000,5014.04,971.912,21028.1
TGSD_MEAN,-1.99,3,-7.99,4.01,-1.99,1.53274,-5.05548,1.07548
TOTAL_ERUPTED_MASS,11,0.325257,10.3495,11.6505,11,0.0382871,10.9234,11.0766
WIND_DIRECTION,2.34242,0.0440228,2.25438,2.43047,2.34242,0.00745772,2.32751,2.35734
WIND_SPEED,0.69897,0.575257,-0.451545,1.84949,0.69897,0.186248,0.326474,1.07147
