real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
18,0.045178,0.15272,0.407345,0.701915,0.347077,0.514379,4.49389,2.32448,6.06595,1.18551,7.66475,9.35544,9.74985,10.3154,10.8529,3.67125,10.1797,0.251245,12.1389,14.0533,16.8476,17.5275,15.7767,18.3916,19.0841,20.4596,18.3321,18.2249,0.998184,9.1558
19,1.93034,0.662636,13.7768,16.5066,20.2019,20.9184,15.7667,23.5991,13.2042,23.2324,6.1205,16.2372,10.592,17.4315,18.2667,0.733513,20.1436,15.1183,6.48863,15.1412,10.4327,12.9553,5.63322,13.9779,6.58948,10.5851,5.68367,5.54516,6.44,1.24629
20,0.025141,0.058859,0.443951,0.785222,0.518177,0.720231,4.34302,2.81098,5.60607,1.65619,6.38493,9.11095,8.81517,10.2703,10.9884,2.31256,10.6411,0.521072,10.7104,13.8964,16.2204,17.5397,14.6327,19.1517,18.8501,22.2518,21.486,21.384,2.16677,11.6823
21,0.208695,0.02412,8.45173,12.1704,18.6475,20.0535,11.4088,26.7193,7.9567,26.0963,1.59393,12.7692,5.14807,15.0758,16.8431,0.01896,20.8099,11.4394,1.85801,11.6475,5.39992,8.76572,1.43164,10.7004,2.11588,6.39671,1.80298,1.70857,2.52985,0.060927
22,0.003075,0.010831,0.129585,0.268736,0.121421,0.197037,2.94803,1.3318,4.36923,0.596164,6.21249,7.66495,8.25017,8.70486,9.31083,2.23758,8.61406,0.101755,11.5607,13.0854,17.0622,17.6852,16.8791,18.8784,21.509,22.6914,22.5784,22.5214,0.763673,12.9303
23,1.85529,0.596694,9.32392,11.1466,14.1954,14.8374,9.99304,17.6856,7.8595,17.4805,2.91247,10.4715,5.80492,11.7014,12.6405,0.278794,14.7275,9.91256,3.01376,9.73946,5.75496,7.96568,2.46353,9.16812,3.06639,6.37768,2.66439,2.57029,3.42193,0.323698
24,0.00355,0.017316,0.240601,0.532628,0.305766,0.477429,4.23083,2.50294,5.53045,1.36041,6.60698,8.01668,8.2957,8.5611,8.81888,2.57544,8.39848,0.320689,9.89121,10.4255,11.8141,11.7316,11.8973,11.7547,12.9116,12.3968,12.595,12.6045,1.73839,10.4825
25,1.42767,0.417111,13.0917,16.5174,21.7642,22.7859,15.7318,27.216,12.4866,26.8197,4.58226,16.6832,9.42376,18.4737,19.7768,0.324145,22.6512,15.5984,4.97974,15.4976,9.47935,12.7669,4.185,14.3339,5.22528,10.106,4.49564,4.35016,5.48677,0.600869
26,0.009777,0.023376,0.379082,0.723319,0.416426,0.61406,4.91898,2.82469,6.55612,1.53637,7.99893,10.2673,10.5099,11.3234,11.913,2.73759,11.2992,0.395455,13.1311,15.0985,18.0098,18.5534,17.4003,19.3648,20.9413,21.8065,21.7594,21.7248,1.93561,14.2195
27,0.630477,0.141108,9.12959,12.2617,17.4452,18.4495,12.1183,23.4501,9.26026,23.1639,2.73332,13.5403,6.76306,15.4399,16.8465,0.095532,19.799,12.7869,3.15935,12.8316,7.23768,10.4672,2.65794,12.2271,3.63797,8.42566,3.34301,3.21321,4.35417,0.267146
