iteration,total_runs,obs_realization,par_realization,obgnme
0,95875,233,233,7610.05
0,95875,234,234,8774.24
0,95875,235,235,8552.38
0,95875,236,236,8767.43
0,95875,237,237,8178.81
0,95875,238,238,2943.77
0,95875,239,239,2137.61
0,95875,240,240,8831.98
0,95875,241,241,8831.31
0,95875,242,242,8818.31
0,95875,243,243,3662.03
0,95875,244,244,8246.4
0,95875,245,245,8831.17
0,95875,246,246,8831.45
0,95875,247,247,8831.98
0,95875,248,248,8640.12
0,95875,249,249,1953.54
0,95875,250,250,3807.06
0,95875,251,251,8831.86
0,95875,252,252,7512.21
0,95875,253,253,8685.22
0,95875,254,254,8307.5
0,95875,255,255,8831.11
0,95875,256,256,8829.89
0,95875,257,257,8831.11
0,95875,258,258,3624.52
0,95875,259,259,8688.03
0,95875,260,260,8827.36
0,95875,261,261,5634.16
0,95875,262,262,8035.46
0,95875,263,263,8364
0,95875,264,264,2714.61
0,95875,265,265,7330.73
0,95875,266,266,8794.36
0,95875,267,267,5934.04
0,95875,268,268,8831.28
0,95875,269,269,8724.79
0,95875,270,270,8831.97
0,95875,271,271,7686.08
0,95875,272,272,8275.79
0,95875,273,273,8830.71
0,95875,274,274,3072.94
0,95875,275,275,8831.53
0,95875,276,276,5550.98
0,95875,277,277,8756.06
0,95875,278,278,13094.8
0,95875,279,279,8802.87
0,95875,280,280,2369.33
0,95875,281,281,7125.5
0,95875,282,282,8790.01
0,95875,283,283,8831.22
0,95875,284,284,8720.57
0,95875,285,285,3576.55
0,95875,286,286,6556.38
0,95875,287,287,8831.37
0,95875,288,288,4054.37
0,95875,289,289,4962.28
0,95875,290,290,8014.58
0,95875,291,291,8800.03
0,95875,292,292,1788.45
0,95875,294,294,8814.63
0,95875,295,295,12723.5
0,95875,296,296,3412.87
0,95875,297,297,7999.65
0,95875,298,298,11553.7
0,95875,299,299,8831.55
0,95875,300,300,8137.72
0,95875,301,301,8725.95
0,95875,302,302,8733.9
0,95875,303,303,8816.97
0,95875,304,304,8831.37
0,95875,305,305,25270.2
0,95875,306,306,2571.47
0,95875,307,307,8822.58
0,95875,308,308,8832
0,95875,309,309,8241.1
0,95875,310,310,6693.74
0,95875,311,311,8762.02
0,95875,312,312,28578.2
0,95875,313,313,8796.45
0,95875,314,314,8817.96
0,95875,315,315,4667.57
0,95875,316,316,8769.98
0,95875,317,317,8495.75
0,95875,318,318,8753.93
0,95875,319,319,8831.97
0,95875,320,320,8831.99
0,95875,321,321,8831.94
0,95875,322,322,2575.62
0,95875,323,323,1577.37
0,95875,324,324,1991.08
0,95875,325,325,7006.43
0,95875,326,326,8811.56
0,95875,327,327,2633.28
0,95875,328,328,6519.07
0,95875,329,329,15427.7
0,95875,330,330,8831.93
0,95875,331,331,9093.47
0,95875,332,332,8831.85
0,95875,333,333,8830.09
0,95875,334,334,8831.8
0,95875,335,335,3234.16
0,95875,336,336,5042.84
0,95875,337,337,8429.9
0,95875,338,338,8826.23
0,95875,339,339,8328.4
0,95875,340,340,6349.34
0,95875,341,341,6439.07
0,95875,342,342,6840.77
0,95875,343,343,3344.49
0,95875,344,344,8831.6
0,95875,345,345,8205.19
0,95875,346,346,2509.99
0,95875,347,347,2566.99
0,95875,348,348,11035.7
0,95875,349,349,6214.73
0,95875,350,350,8651.91
0,95875,351,351,5470.19
0,95875,352,352,8777.14
0,95875,353,353,8831.52
0,95875,354,354,7795.91
0,95875,355,355,8810.18
0,95875,356,356,3468.58
0,95875,357,357,8750.63
0,95875,358,358,8831.99
0,95875,359,359,2242.03
0,95875,360,360,2639.11
0,95875,361,361,5134.27
0,95875,362,362,42266.4
0,95875,363,363,1762.35
0,95875,364,364,8829.1
0,95875,365,365,8771.79
0,95875,366,366,5806.4
0,95875,367,367,8827.62
0,95875,368,368,6950.65
0,95875,369,369,8831.58
0,95875,370,370,8831.02
0,95875,371,371,8825.59
0,95875,372,372,6220.65
0,95875,373,373,6141.81
0,95875,374,374,2071.17
0,95875,375,375,7277.14
0,95875,376,376,7583.87
0,95875,377,377,7374.99
0,95875,378,378,8810.17
0,95875,379,379,2273.09
0,95875,380,380,5377.06
0,95875,381,381,7467.46
0,95875,382,382,8832
0,95875,383,383,8809.29
0,95875,384,384,6603.61
0,95875,385,385,8748.73
0,95875,386,386,4084.65
0,95875,387,387,5810.22
0,95875,388,388,8311.95
0,95875,389,389,3024.61
0,95875,390,390,8831.4
0,95875,391,391,8831.6
0,95875,392,392,8791.93
0,95875,393,393,6578.14
0,95875,394,394,8830.64
0,95875,395,395,7624.58
0,95875,396,396,20264.9
0,95875,397,397,8675.86
0,95875,398,398,8762.59
0,95875,399,399,10215.7
0,95875,400,400,38281.2
0,95875,401,401,3867.18
0,95875,402,402,8828.41
0,95875,403,403,2063.04
0,95875,404,404,3130.62
0,95875,405,405,6766.43
0,95875,406,406,8831.41
0,95875,407,407,8786.04
0,95875,408,408,8348.71
0,95875,409,409,9070.27
0,95875,410,410,1955.97
0,95875,411,411,8825.73
0,95875,412,412,8254.12
0,95875,413,413,8111.3
0,95875,414,414,8830.95
0,95875,415,415,8697.22
0,95875,416,416,3371.96
0,95875,417,417,6994.5
0,95875,418,418,8831.24
0,95875,419,419,3052.82
0,95875,420,420,10257.9
0,95875,421,421,3256.35
0,95875,422,422,8659
0,95875,423,423,2902.16
0,95875,424,424,7875.08
0,95875,425,425,1854.67
0,95875,426,426,8723.57
0,95875,427,427,8826.15
0,95875,428,428,5751.36
0,95875,429,429,6690.29
0,95875,430,430,3013.63
0,95875,431,431,4429.23
0,95875,432,432,1215.43
0,95875,433,433,5575.21
0,95875,434,434,11892
0,95875,435,435,8791.85
0,95875,436,436,8819.27
0,95875,437,437,8458.77
0,95875,438,438,6908.96
0,95875,439,439,8726.46
0,95875,440,440,20165.2
0,95875,441,441,8740.22
0,95875,442,442,8634.55
0,95875,443,443,8822.82
0,95875,444,444,8825.07
0,95875,445,445,1750.25
0,95875,446,446,8774.05
0,95875,447,447,8831.98
0,95875,448,448,3052.57
0,95875,449,449,7903.39
0,95875,450,450,8783.09
0,95875,451,451,8415.58
0,95875,452,452,2946.09
0,95875,453,453,8468.55
0,95875,454,454,8830.31
0,95875,455,455,4244.53
0,95875,456,456,8761.56
0,95875,457,457,4245.11
0,95875,458,458,8731.85
0,95875,459,459,1971.6
0,95875,460,460,6606.27
0,95875,461,461,8479.65
0,95875,462,462,8831.99
0,95875,463,463,8394.04
0,95875,464,464,8788.94
0,95875,465,465,6048.7
0,95875,466,466,2230.25
0,95875,467,467,8595.14
0,95875,468,468,19208.9
0,95875,469,469,3743.45
0,95875,470,470,5193.21
0,95875,471,471,7017.46
0,95875,472,472,2074.49
0,95875,473,473,8826.85
0,95875,474,474,8821.53
0,95875,475,475,3812.74
0,95875,476,476,7027.73
0,95875,477,477,8788.74
0,95875,478,478,1785.3
0,95875,479,479,8777.11
0,95875,480,480,16660.2
0,95875,481,481,4413.96
0,95875,482,482,7249.74
0,95875,483,483,8831.58
0,95875,484,484,1950.28
0,95875,485,485,8614.03
0,95875,486,486,8823.89
0,95875,487,487,7271.16
0,95875,488,488,18154.9
0,95875,489,489,4931
0,95875,490,490,8831.93
0,95875,491,491,8830.03
0,95875,492,492,4510.63
0,95875,493,493,7663.65
0,95875,494,494,3043.38
0,95875,495,495,8769
0,95875,496,496,8831.79
0,95875,497,497,8604.35
0,95875,498,498,8831.97
0,95875,499,499,8816.57
0,95875,500,500,8733.11
