real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
483,5.78522,6.15147,7.0283,6.65412,5.29225,4.71304,9.09903,9.38119,16.9826,4.22888,21.0831,14.8843,24.9949,29.74,20.1406,6.70097,27.5639,9.43903,19.2002,30.1411,21.8124,29.7136,8.2087,33.5262,9.70952,13.2675,25.1907,5.79228,6.37072,5.448
484,6.86721,6.15262,6.38168,4.13161,5.68789,5.38351,9.19682,12.2596,15.7163,3.88486,18.6751,14.2587,22.3604,27.0638,19.4088,7.07839,27.5863,7.50612,20.9978,28.3448,21.9887,29.6003,8.93025,34.0474,8.09511,15.0822,23.9124,4.87092,5.22459,5.46835
485,5.59964,6.8588,8.14947,5.10928,4.60376,1.8643,10.3465,10.3266,15.4861,3.27886,17.6968,15.1977,25.2539,28.2971,21.3597,7.36768,27.8491,7.63283,20.9922,29.6116,22.1447,29.3154,9.4839,32.4207,7.62242,14.7193,25.5722,5.22895,3.45019,8.20237
486,5.55248,6.97498,6.95101,3.77154,3.65373,5.7498,12.0145,10.3547,15.5683,4.57908,18.6997,13.312,24.805,26.6511,21.9806,7.57074,29.0438,9.33383,18.9963,28.3871,22.0273,29.309,8.27079,34.3796,7.36991,13.1399,23.7163,5.40211,4.98251,5.51513
487,7.08889,6.30496,5.15653,4.53625,4.30924,4.49284,10.7709,9.71983,16.5116,4.79624,18.9196,14.5629,25.774,26.7151,19.6849,7.95971,28.5997,8.0783,20.241,29.8114,19.3092,29.1742,6.01676,32.8837,8.83064,13.3835,23.845,4.62821,4.68509,7.23854
488,6.59353,5.97359,7.76327,5.40372,2.73573,4.12114,10.1046,10.8816,14.9298,2.19582,19.4592,12.5384,24.6341,29.1345,20.5392,7.88565,27.4448,8.00785,20.1087,28.0847,21.6264,28.7339,8.30303,34.208,9.90353,13.6232,22.614,6.80216,5.01419,6.41364
489,6.75734,6.90151,8.87543,3.80643,3.77087,5.41437,8.785,9.78499,16.7177,4.52834,19.5029,13.2639,24.4421,27.7984,18.5395,5.7424,29.3033,9.58261,19.3544,30.3458,21.6339,28.8398,10.3168,32.6134,9.28636,15.8326,24.6604,6.6225,4.57695,6.04667
490,5.55498,5.34104,7.59822,4.62649,6.04543,3.66649,8.91457,9.99807,17.1301,3.29494,19.9105,13.8754,23.9954,28.845,18.6768,8.69119,28.0781,8.42193,18.0362,31.2214,21.5958,30.5178,7.90623,32.3602,8.97288,13.8235,25.7855,5.26247,2.51017,5.59907
491,5.31309,5.36389,8.45077,5.48436,3.65701,3.4898,9.36228,9.9153,16.3397,3.15522,20.6685,13.3057,26.4938,27.7987,20.2358,8.19792,28.8427,7.66795,19.1421,30.1944,22.2908,28.9505,9.71919,34.6082,8.63339,15.0819,24.4534,4.62614,3.79333,5.34441
492,6.52171,4.69711,5.30958,5.42285,4.3247,5.08193,8.86325,10.2486,15.3097,5.26443,20.5406,14.7033,26.2234,27.4444,19.5273,10.0171,27.2936,9.32131,19.7768,31.0651,22.2741,28.7597,9.60346,34.5655,9.57721,14.3338,26.1228,6.1097,4.31652,6.75464
493,6.17471,4.39721,5.63377,6.08915,3.53664,4.09196,11.5393,10.1453,16.5792,3.85284,19.9002,12.4795,24.9507,28.4065,20.3298,6.86005,27.3693,8.02618,19.0279,28.0751,21.3685,28.1167,10.8015,34.073,8.76863,13.5027,24.229,5.94117,3.46312,5.99659
494,7.56648,5.03204,6.46432,3.21718,4.05322,4.89072,8.4662,10.335,16.5689,5.10174,19.4699,13.9407,24.9082,29.0813,19.9043,8.08936,26.793,8.14641,21.1108,29.8113,20.8722,28.9645,10.3093,33.4735,7.77196,12.8345,24.806,5.6232,4.93864,4.15521
495,9.68114,7.49424,8.09314,3.77477,3.47399,4.99449,9.77314,10.6766,17.2003,4.31521,20.341,15.6136,24.0751,27.8526,18.9857,8.05937,26.7446,7.68304,20.7927,27.2858,22.0784,30.8193,9.04684,34.1032,8.19955,12.7471,25.1546,5.27186,3.20429,7.87731
496,6.99768,3.82258,5.4462,3.43914,3.98869,3.36818,10.7918,11.9759,15.7444,3.28808,21.0947,13.9516,25.0759,27.8878,20.081,7.44726,27.7497,9.13949,21.4697,30.0192,20.4223,29.3653,7.87682,32.9778,8.61299,13.2086,26.1759,4.62233,3.64388,6.99693
497,7.47296,3.90502,5.68471,4.53611,3.23793,5.96256,12.2266,8.23369,16.5636,4.25348,19.1575,14.698,25.7381,27.1381,19.1155,6.43918,27.3614,8.42176,21.3969,30.6562,22.4041,29.0986,8.78178,34.0493,6.33246,14.2352,24.2611,7.66289,5.11098,6.38204
498,8.24738,6.2702,6.399,4.77487,3.92091,5.10289,9.74108,10.016,15.4561,4.76741,19.7556,13.5086,24.0763,26.075,19.5119,8.39552,27.7997,7.63636,20.9614,31.2115,21.8666,27.7644,8.18272,36.0023,9.13594,13.883,24.6723,6.03174,3.53908,7.01684
base,7,6,7,5,4,4,10,10,16,4,20,14,25,28,20,8,28,8,20,30,22,29,9,34,9,14,25,6,4,6
