real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
174,7.05823,0.907666,0.540518,0.152624,0.005201,0.015492,0.034963,0.023237,0.031279,0.001042,0.019667,0.028995,0.028096,0.026879,0.023025,0,0.017951,0,0.002186,0.011904,0.001261,0.000925,7.1e-05,0.000473,4e-05,8.7e-05,0,0,0,0
175,43.6518,3.06975,60.1785,52.9462,29.7544,32.6529,31.5753,27.0123,24.3549,19.9292,5.87213,18.8053,12.4787,17.171,16.0446,0.00723,16.0711,2.48231,3.24762,10.9655,5.0164,6.06779,1.12116,5.07039,0.982118,1.67449,0.154832,0.141747,0.03029,0.000181
176,2.12463,0.828108,0.146149,0.093902,0.000527,0.001869,0.12336,0.008439,0.114661,0.000572,0.028495,0.045232,0.047362,0.028624,0.020033,4e-06,0.01348,0,0.005614,0.012928,0.004279,0.003929,0.000388,0.001896,0.000135,0.000137,0,0,0,0
177,45.0878,3.36634,135.319,145.792,36.3826,68.858,153.501,101.147,148.802,54.9532,17.948,124.257,98.9631,108.705,97.9155,0,90.3664,0.004267,6.61751,81.4171,42.6075,56.9897,0.43823,47.1241,0.878616,11.7602,0.031068,0.021571,2.2e-05,0
178,0.000174,0.000326,0.46085,2.20784,6.75841,9.01592,19.5429,33.4231,19.7904,30.5625,7.92915,41.4018,26.9272,46.0537,48.1328,0.202539,49.2641,23.9453,22.5498,48.994,47.5381,50.6666,34.0312,51.5333,47.3744,51.7948,51.745,51.7262,47.3865,29.9635
179,0.182381,3.90323,0.001986,0.001529,1e-06,5e-06,0.033288,0.000233,0.073595,4e-06,0.248907,0.020653,0.089702,0.012834,0.009177,0.24303,0.004944,0,0.097117,0.012867,0.018015,0.009188,0.026722,0.004115,0.007462,0.001083,6.4e-05,6e-05,0,0
180,9.41033,4.99745,15.4953,15.5166,12.3778,13.1112,14.624,13.6392,13.6937,11.8892,9.60267,13.161,11.7491,12.9056,12.6926,2.19915,12.6427,6.13987,8.69331,11.6088,9.69352,10.1094,7.02338,9.64267,6.81625,7.4314,4.39664,4.31992,2.32499,1.26192
181,31.8167,5.74554,16.9128,13.6544,5.15831,6.14739,8.62254,5.19541,6.99883,2.94541,2.32489,4.44602,3.57855,3.73108,3.27782,0.005454,3.04206,0.150242,1.04217,2.25857,1.1192,1.18396,0.309617,0.880041,0.21325,0.252095,0.018288,0.016704,0.000845,1.5e-05
182,2.2e-05,0.001857,0.000102,0.000184,8e-06,2.2e-05,0.006843,0.000373,0.016357,5.9e-05,0.09406,0.01515,0.042975,0.013336,0.011849,0.521754,0.007681,1e-06,0.113002,0.024019,0.056198,0.03524,0.138091,0.026337,0.10022,0.033142,0.04415,0.045149,2.2e-05,0.122648
183,0.134669,3.65523,0.250809,0.40332,0.009823,0.030751,7.59247,0.572408,12.8051,0.073542,27.0918,10.2416,18.8138,8.80584,7.75011,40.8535,5.59467,0.000226,24.7534,11.0527,16.0678,11.7151,22.1837,8.63837,16.4177,7.20216,4.7185,4.7073,0.000923,2.283
